0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0.894,0,0,0.3612,0,4,0,3,0,1,2,2,1,0,3,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,0,2,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0.763,0,0,0.6792,0,2,0,4,1,0,2,1,2,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,2,1
0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0.858,0,0,-0.3595,0,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,1,1,0,0,2,0,1,2,0,0,1,0,0,1
1,1,1,1,1,0.902,0,0,-0.3595,0,3,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,0,23,0,0,1,1,1,0,0,2,0,1,2,0,0,1,0,0,1
1,1,1,0,0,1,0,0,0,0,1,0,5,0,0,1,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
