Tweet, 'TRENDING HASHTAGS\n#RahulGSTimpact #SriSriHealingHearts #NationalEducationDay #GSTCouncilMeet\xe2\x80\xa6 https://t.co/nyWZWcdCBP',1
Reply, 'TRENDING HASHTAGS\n#ImSoOldSchoolThat #AddParenthesesRuinAFilm #LivePD #injustice2 #UWvsSTAN',1
Tweet, '@LivePDyes @danabrams @OfficialLivePD So Flex hasn\xe2\x80\x99t said a word tonight and is trouncing his studio crew in votes\xf0\x9f\x98\x8a',-1
Reply," ""@TomMorrisJr1 @LivePDyes @danabrams @OfficialLivePD Sorry! \xf0\x9f\x90\x95\xf0\x9f\x92\x98 He's adorable! #LivePD #k9flex""",-1
Reply," ""Someone's about to be hogtied #LivePD""",-1
Tweet," 'Friday night tv debate: #LivePD vs #Dateline. Also did I mention, I\xe2\x80\x99m clearly 75 now. Please judge away.'",-1
Reply," ""@slura LMAO! I had to cancel my record of #Dateline as it was conflicting with #GoldRush &amp; I'm watching #LivePd. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x98\x8a\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbb\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82""",-1
Tweet, 'Thank you for allowing me into your homes tonight \xf0\x9f\x92\x99\xf0\x9f\x8e\xbe\xf0\x9f\x92\x99\xf0\x9f\x8e\xbe\xf0\x9f\x92\x99\xf0\x9f\x8e\xbe    Sorry I fell asleep my handler snores \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Xgf5eax0Kr',1
Reply, '@K9Flex_JPD \xf0\x9f\x92\x98\xf0\x9f\x90\x95\xf0\x9f\x92\x98\xf0\x9f\x90\x95 #LivePD #K9Flex',1
Reply," ""Someone's about to be hogtied #LivePD""",1
Reply, 'Green truck guy needs a 5150 #LivePD',1
Tweet, 'https://t.co/xh9bve8q9i',1
Reply, '@K9Flex_JPD This team was so awesome to see on #LivePD. Sgt. Leverett &amp; Flex have become a favorite! \xe2\x9d\xa4\xef\xb8\x8f',1
Tweet, 'Sgt. Leverett &amp; K9 Flex in studio AND K-Law &amp; Mastrianni on duty tonight! \nIt\xe2\x80\x99s like waiting for Christmas morning!\xe2\x80\xa6 https://t.co/24zQKF0CHZ',1
Reply, '@JahmelleSherman @LivePDNation Very happy to see these guys! #LivePD',1
Tweet," ""Alabama ABC Affiliate Can't Find One Voter Who Believes WaPo Report About Roy Moore in Man-on-the-Street Segment\xe2\x80\xa6 https://t.co/OPxWUKFDs6""",1
Reply," ""@TrumpTrain45Pac @MooreSenate Watching @OfficialLivePD and I'm constantly amazed about the stuff ppl keep/have in t\xe2\x80\xa6 https://t.co/vJjDIZheVr""",1
Tweet, 'I have two amazing partners who also happen to be my best friends! @RyanLennoxk9 @PascoSheriff @OfficialLivePD https://t.co/ie85MVhZKq',1
