Tweet, 'Is your daily life better now than it was a year ago?',1
Reply, '@FrankLuntz Yes! I smile everyday just thinking Trump is the head of this great country! #USA',1
Tweet, 'Felt so good to FINALLY be able to spill the beans on our American Forces Network deal. We are so excited about bei\xe2\x80\xa6 https://t.co/8DQYdsENaw',1
Reply, '@987Woody This was my guess before when you first mentioned it and I\xe2\x80\x99m so happy it\xe2\x80\x99s going to happen. #ALLIN #USA #WHATWENEED',1
Tweet, 'Tell @RepMattGaetz you will be voting him out for obstructing justice.  Let him hear from you. \xf0\x9f\x91\x87 https://t.co/U9Iye2ZoHh',-1
Reply," '@Alyssa_Milano @RepMattGaetz Oh please. Listen ""charmed one,"" stick to casting spells and making weight loss commercials #USA #maga'",1
Tweet," 'From tonight\xe2\x80\x99s #LNSM: That\xe2\x80\x99s how you do it, Danica Roem. https://t.co/ilcfeiCrKN'",1
Reply," ""@LateNightSeth Enjoying the 1 year anniversary Seth?? you can bully and insult all you want, it won't stop the Pres\xe2\x80\xa6 https://t.co/a2LGFrWJCU""",-1
Tweet, 'China is managing the potential challenges President Trump presents to U.S.-China ties with grand gestures and lavi\xe2\x80\xa6 https://t.co/5zqA6HGqJT',1
Reply, '@NPR @TrumpLaney Meanwhile a reminder of the stark contrast bestowed Obama. #TrumpChina \n#PeaceThroughStrength\xe2\x80\xa6 https://t.co/hqZr1aJzr9',-1
Tweet, '@kwanette @MaxTAaron Yes he was!',1
Reply, '@googal70 @MaxTAaron Love our #USA men!',1
Tweet," 'And just Like MSM, they also do not have a clue what Trump is all about! Hundreds of Chinese government analysts wo\xe2\x80\xa6 https://t.co/oefunu1sMp'",1
Reply, '@marklar1969 Its such a beautiful ceremony #china gave #USA',1
Tweet, 'John McCain Planning on Killing Tax Reform https://t.co/E6FEawxNpU',-1
Reply," ""@ToscaAusten #Corrupt McCain, #DNC &amp; virtually all of GOP is what's forcing #US down a #bottomless #pit\n\nIf you wan\xe2\x80\xa6 https://t.co/EyM9h4hG6i""",-1
Tweet, 'Congratulations to all of the \xe2\x80\x9dDEPLORABLES\xe2\x80\x9d and the millions of people who gave us a MASSIVE (304-227) Electoral Co\xe2\x80\xa6 https://t.co/cKVtPvEHO ',1
Reply," ""@realDonaldTrump November 8, 2016 was one of the most exciting night's of my life! The BIGGEST upset in political history!\n#MAGA\n#USA""",-1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @Scavino45: #POTUSinAsia #USA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8#China\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3 https://t.co/2WJkaD5l7U',1
Reply, 'RT @zlando: Pictures of Betrayal\n#Iran 1979:\n#USA 2017: https://t.co/jXB8qH94Rk 1510115606',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply," 'One year ago tonight I nodded off for a moment, was woke up by the giddy happy shrieks of my  beautiful wife\xe2\x80\xa6 https://t.co/L6e81c4qfL'",1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
Reply, 'RT @DonaldJTrumpJr: My favorite piece of campaign memorabilia from @realdonaldtrump #maga #makeamericagreatagain #usa #america  ',1
